id,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,date
BWNF141,5,3,1,4,1,5,4,2,4,3,1,5,2022-08-13T22:51:20Z
XOOD93,4,1,4,5,3,1,5,3,2,3,2,4,2022-12-05T02:39:05Z
LSCF10,3,2,3,2,3,2,4,2,5,1,1,3,2022-10-01T09:46:27Z
CZAS169,4,4,5,4,5,2,5,3,4,5,1,3,2022-09-15T01:34:47Z
FWJH175,3,1,2,2,5,4,3,1,3,5,1,3,2022-11-20T00:40:14Z
TSVX22,4,5,4,5,4,2,5,1,5,5,1,5,2022-10-27T15:10:13Z
INCX157,3,4,5,5,4,3,5,2,1,3,5,2,2022-08-17T22:05:27Z
GFOT74,2,4,1,1,4,2,5,1,1,1,1,5,2022-11-02T05:40:56Z
RMBG201,2,2,1,5,2,3,2,5,4,1,4,1,2022-12-11T15:49:45Z
WNPY128,2,4,3,3,5,1,5,2,5,2,2,1,2022-09-04T01:31:49Z
GDIS64,1,1,1,1,2,2,3,5,2,4,3,2,2022-08-19T14:52:07Z
CGZP166,1,2,3,2,5,1,3,2,4,2,4,3,2022-08-07T05:28:32Z
WEFW198,5,3,1,4,3,2,4,5,5,1,3,3,2022-11-16T22:49:38Z
AFRW147,4,2,1,2,3,4,2,4,1,3,1,4,2022-09-14T13:08:42Z
XBNJ16,3,2,5,4,1,3,3,5,4,1,3,4,2022-08-13T07:40:41Z
WCZK151,5,5,4,5,4,4,1,3,2,3,1,1,2022-11-30T20:14:39Z
RIPZ57,3,3,4,2,4,3,5,4,3,5,5,2,2022-09-24T22:21:53Z
AAZC31,1,4,5,1,1,2,5,3,5,5,1,1,2022-08-23T14:20:27Z
YONE23,1,5,4,5,3,5,3,2,2,5,3,3,2022-09-26T12:37:43Z
DEIE194,5,2,2,5,1,2,4,5,3,4,4,3,2022-10-25T10:37:10Z
XTDD98,1,4,3,1,2,5,5,4,1,4,2,3,2022-10-28T09:59:02Z
ZQHF126,5,3,5,5,4,4,4,3,1,3,3,3,2022-11-29T10:08:03Z
