numphoneme,phoneme,duration,timef,f0,f0max,f0min,f1,f2,f3,intensity,intensitymax,id,rec,reduction,position,manner,place,voicing,palatalization,stress
1,ɐ,0.104646653732421,0.524113764893704,129.681619450134,135.723977972046,124.424097944764,638.887302207363,1471.03399288252,2613.92290135424,80.0422822045679,81.4082392524159,subj1,1-1,first,I,NA,NA,NA,NA,2
4,o,0.0632873805230723,0.805887759468812,108.192329368945,110.851937662066,104.476800350787,309.110408948865,1333.34474667173,2475.64335120527,78.6241834476192,79.6814010784829,subj1,1-1,no,S,NA,NA,NA,NA,1
6,ə̝,0.0503536239896117,0.964989060454053,101.224645196378,106.226154229628,90.2541696545544,332.944563938816,1808.38897321376,2862.14947434912,71.9322300637339,73.1766197088978,subj1,1-1,second,T,NA,NA,NA,NA,3
8,ə,0.0438374121521776,1.1363950877493,-1,-1,-1,602.286324134354,1611.49530998918,3226.76058323906,69.5627945128828,69.7025946988189,subj1,1-1,second,F,NA,NA,NA,NA,3
1,ɐ,0.0381158563226594,0.216675929641701,-1,-1,-1,651.224313031779,1793.45535113833,2609.07507119192,64.8749192257293,65.3851896266559,subj1,1-2,first,I,NA,NA,NA,NA,3
4,ɐ,0.0325562577754996,0.423544427959394,115.542260597128,116.753292444522,114.20825782438,293.214407157335,1985.27820371199,2625.40031239867,76.58539180357,77.9353669291427,subj1,1-2,first,R,NA,NA,NA,NA,2
6,i,0.106145422670697,0.607725316344428,109.159275719888,136.041523433937,104.403243939335,278.345311069974,2188.13999894716,2912.49050141374,73.3253630405774,76.2662223822206,subj1,1-2,no,S,NA,NA,NA,NA,1
8,ə,0.0716750246700213,0.849098965305425,102.730593873614,106.296207663788,97.1166321561737,556.792692668178,1659.75826814038,3607.76598426973,72.2746332484532,73.7255255827912,subj1,1-2,second,F,NA,NA,NA,NA,3
3,a,0.139667472605374,0.373395764370304,112.179596785255,119.137607244951,102.427913869419,568.777556168542,1545.37343326782,2467.68342838908,80.0187843191075,81.8012809149226,subj1,10-1,no,S,NA,NA,NA,NA,1
5,əᶷ,0.0720216019577131,0.619231913505169,102.35761420705,104.506654655755,94.5703654472163,297.437826448825,1330.02597149209,2583.14472669009,68.7036683500561,70.5511823616514,subj1,10-1,second,F,NA,NA,NA,NA,3
3,ɐ,0.0496853966613538,0.28945171937606,116.8260508552,117.396158301142,115.898229261543,505.312638101694,1448.20896503104,2550.86112636055,77.54208655555,77.6942440065425,subj1,10-2,first,R,NA,NA,NA,NA,2
5,u,0.155330262367103,0.546481132507099,104.815664011962,126.135988437015,95.5511600989768,361.378673431859,772.159138529368,2442.5238469371,75.5510542932372,79.0670898724522,subj1,10-2,no,S,NA,NA,NA,NA,1
2,e,0.0487873140827103,0.268346740795545,116.267242202454,117.013972146978,110.74484679497,433.966814057526,1475.74352940909,2214.13453530564,76.6328056310418,77.2990503230968,subj1,11-1,no,S,NA,NA,NA,NA,NA
5,ə,0.0709042298002056,0.514885301293507,109.314752581404,110.862873070701,106.737014989403,476.477455845858,770.757496202336,2339.08642407849,76.6959396697613,77.45715751929,subj1,11-1,second,T,NA,NA,NA,NA,NA
2,ɪ,0.0487873140827103,0.268346740795545,116.267242202106,117.013972146547,110.744846794547,433.966814057526,1475.74352940909,2214.13453530564,76.6328056310418,77.2990503230968,subj1,11-2,first,R,NA,NA,NA,NA,2
5,o,0.0709042298002056,0.514885301293507,109.314752581643,110.862873070346,106.737014989487,476.477455845858,770.757496202336,2339.08642407849,76.6959396697613,77.45715751929,subj1,11-2,no,S,NA,NA,NA,NA,1
2,u,0.110531732076948,0.481798536869293,115.560671484391,121.466720728337,107.791028708906,508.465787242475,2578.72945381776,3756.39903611932,79.7343746510365,82.4350614202166,subj1,12-1,no,S,NA,NA,NA,NA,1
4,ə,0.0989476204182284,0.701413987065848,101.519415670304,125.415068216158,97.2930172191515,490.219367317098,1029.07905965153,2404.97582200269,71.021316486129,73.8368126687848,subj1,12-1,second,F,NA,NA,NA,NA,3
2,ʊ,0.0544183334210028,0.348582948013592,120.279856881467,120.858527330807,114.875204589044,593.578525083642,2051.44002032704,2696.93778254262,77.2541405367252,78.3414257779122,subj1,12-2,first,R,NA,NA,NA,NA,2
4,a,0.163198650049933,0.570340851831768,103.142993927053,118.834710281446,95.2833949797749,345.782383610611,1168.61457738185,2262.97379150522,73.0777770062021,77.5322808356054,subj1,12-2,no,S,NA,NA,NA,NA,1
4,e,0.103204929886315,0.536556408842955,122.495928599271,125.678797993703,116.319635970381,360.903257859794,2029.69504475074,2231.95075961207,82.3759312492033,83.0067764584739,subj1,13-1,no,S,NA,NA,NA,NA,1
7,ə̝,0.088048961161751,0.873235428367191,100.449553066801,102.481664534305,91.192616261542,334.83611381494,1530.87219636898,2472.15156339159,67.6652505349221,70.0606637364201,subj1,13-1,second,F,NA,NA,NA,NA,3
4,ɪ,0.0327748611688478,0.490255257729834,118.719772471895,119.735452621578,116.362608489835,364.95899194224,1581.36407309014,2518.55064905799,78.0567675568703,78.1558579239861,subj1,13-2,first,R,NA,NA,NA,NA,2
