"","id","lvl","qualification","autonomy","subdiv_regulations","company_regulations","direct_juniors","func_juniors","income_influence","error_cost"
"1","таб_1544093","Сотрудник",5,2,1,1,1,1,1,1
"2","таб_1397647","Сотрудник",4,2,1,1,1,1,1,2
"3","таб_4078395","Сотрудник",2,2,1,1,1,1,1,1
"4","таб_4172997","Сотрудник",4,3,1,1,1,1,1,1
"5","таб_6331846","Менеджер",5,3,2,3,2,1,3,5
"6","таб_1623467","Сотрудник",2,2,1,1,1,1,2,2
"7","таб_3567152","Менеджер",5,3,1,1,1,2,1,1
"8","таб_5304818","Менеджер",5,2,1,1,1,1,1,2
"9","таб_4878102","Сотрудник",2,1,1,1,1,1,1,1
"10","таб_5949613","Сотрудник",2,1,1,1,1,1,2,2
"11","таб_9877966","Сотрудник",3,2,1,1,1,1,1,1
"12","таб_865858","Менеджер",4,2,2,1,2,4,3,3
"13","таб_6097983","Менеджер",4,2,2,1,2,4,3,3
"14","таб_8072887","Менеджер",2,2,2,1,2,1,2,2
"15","таб_78887","Сотрудник",2,2,2,1,1,1,1,1
"16","таб_2178419","Сотрудник",3,2,1,1,1,1,1,1
"17","таб_4134116","Менеджер",4,2,2,1,2,3,3,2
"18","таб_9595866","Сотрудник",2,1,1,1,1,1,1,1
"19","таб_3402464","Сотрудник",4,2,2,2,1,1,1,1
"20","таб_3262451","Сотрудник",2,2,1,1,1,1,2,1
"21","таб_4249480","Сотрудник",1,1,1,1,1,1,2,1
"22","таб_1718273","Сотрудник",4,2,2,1,1,1,1,2
"23","таб_3982307","Менеджер",4,2,2,1,2,1,3,3
"24","таб_5296590","Сотрудник",2,1,1,1,1,1,2,2
"25","таб_9982337","Сотрудник",2,2,1,1,1,1,2,2
"26","таб_3194705","Менеджер",4,2,2,1,2,3,3,2
"27","таб_3356312","Сотрудник",2,2,1,1,1,1,2,2
"28","таб_1630324","Сотрудник",1,1,1,1,1,1,1,1
"29","таб_5299133","Сотрудник",2,2,1,1,1,1,2,2
"30","таб_8479849","Сотрудник",1,1,1,1,1,1,1,1
"31","таб_2921950","Сотрудник",4,3,1,1,1,1,1,1
"32","таб_2976238","Сотрудник",4,2,1,1,1,1,2,2
"33","таб_1959756","Сотрудник",3,2,1,1,1,1,1,1
"34","таб_8053950","Сотрудник",2,2,1,1,1,1,2,2
"35","таб_4430663","Сотрудник",2,2,1,1,1,1,2,2
"36","таб_1252039","Сотрудник",4,3,2,1,1,1,1,3
"37","таб_8437824","Менеджер",4,3,2,1,3,1,1,1
"38","таб_2009938","Сотрудник",3,2,1,1,1,1,1,1
"39","таб_194855","Сотрудник",3,2,2,1,1,1,1,2
"40","таб_7567425","Сотрудник",4,2,2,1,1,1,1,2
"41","таб_4711369","Сотрудник",1,1,1,1,1,1,2,1
"42","таб_9169769","Сотрудник",1,1,1,1,1,1,2,1
"43","таб_7425686","Менеджер",4,2,1,1,1,1,2,2
"44","таб_6474887","Сотрудник",3,2,1,1,1,1,1,1
"45","таб_9996196","Сотрудник",5,2,1,1,1,1,1,1
"46","таб_2350098","Сотрудник",2,1,1,1,1,1,2,2
"47","таб_8931303","Сотрудник",1,1,1,1,1,1,2,1
"48","таб_1146611","Менеджер",4,2,2,1,2,1,3,2
"49","таб_2887739","Сотрудник",1,1,1,1,1,1,1,1
"50","таб_5010659","Сотрудник",2,1,1,1,1,1,2,2
"51","таб_3013025","Сотрудник",1,1,1,1,1,1,1,1
"52","таб_7404543","Сотрудник",2,2,1,1,1,1,2,1
"53","таб_8381745","Сотрудник",2,1,1,1,1,1,2,2
"54","таб_2590031","Сотрудник",3,2,1,1,1,1,1,2
"55","таб_482510","Менеджер",2,2,2,1,2,1,2,2
"56","таб_2037228","Сотрудник",4,2,1,1,1,1,3,1
"57","таб_559572","Сотрудник",2,2,1,1,1,1,2,2
"58","таб_9286213","Сотрудник",2,2,1,1,1,1,2,2
"59","таб_8898407","Менеджер",4,2,2,1,2,3,3,2
"60","таб_3156185","Сотрудник",5,3,1,1,1,1,1,1
"61","таб_6833772","Сотрудник",2,2,1,1,1,1,2,2
"62","таб_9122412","Сотрудник",2,2,1,1,1,1,2,1
"63","таб_9741717","Сотрудник",1,1,1,1,1,1,1,1
"64","таб_7331808","Сотрудник",2,2,1,1,1,1,2,2
"65","таб_3942325","Сотрудник",1,1,1,1,1,1,2,1
"66","таб_8880083","Сотрудник",4,2,1,1,1,1,1,1
"67","таб_2051688","Сотрудник",5,3,2,3,1,1,2,1
"68","таб_4644775","Сотрудник",2,2,1,1,1,1,2,2
"69","таб_7484223","Сотрудник",1,1,1,1,1,1,1,1
"70","таб_8010477","Сотрудник",2,2,1,1,1,1,2,2
"71","таб_1730604","Сотрудник",2,2,1,1,1,2,2,2
"72","таб_5982460","Сотрудник",2,1,1,1,1,1,2,2
"73","таб_3628933","Менеджер",5,4,3,4,2,4,1,2
"74","таб_2440062","Сотрудник",2,2,1,1,1,1,2,2
"75","таб_7277587","Менеджер",2,2,2,1,2,3,2,2
"76","таб_381271","Сотрудник",2,2,1,1,1,1,2,2
"77","таб_9923245","Сотрудник",1,1,1,1,1,1,1,1
"78","таб_8462617","Менеджер",4,2,2,1,2,3,3,2
"79","таб_2822813","Сотрудник",2,2,1,1,1,1,2,2
"80","таб_1120513","Сотрудник",3,2,1,1,1,1,1,1
"81","таб_8118455","Сотрудник",5,2,2,1,1,1,1,2
"82","таб_5832063","Сотрудник",2,2,1,1,1,1,1,1
"83","таб_6082108","Сотрудник",5,3,2,1,1,1,1,1
"84","таб_1969318","Сотрудник",2,2,1,1,1,1,2,2
"85","таб_3068053","Сотрудник",4,2,1,1,1,1,1,1
"86","таб_903887","Менеджер",4,2,2,1,2,3,3,2
"87","таб_6970602","Менеджер",5,3,2,1,2,1,3,2
"88","таб_3229276","Сотрудник",2,2,1,1,1,1,2,2
"89","таб_5858944","Сотрудник",2,2,1,1,1,1,2,2
"90","таб_6585223","Сотрудник",2,2,1,1,1,1,2,2
"91","таб_2097197","Сотрудник",2,2,1,1,1,1,1,1
"92","таб_3096800","Сотрудник",3,2,1,1,1,1,1,2
"93","таб_986","Менеджер",5,3,2,1,1,2,1,1
"94","таб_9939135","Менеджер",2,3,2,1,2,2,3,3
"95","таб_7997654","Менеджер",4,2,2,1,2,3,3,2
"96","таб_6052469","Сотрудник",2,2,1,1,1,1,2,2
"97","таб_6022403","Сотрудник",2,1,1,1,1,1,1,1
"98","таб_5892699","Сотрудник",2,2,1,1,1,1,2,2
"99","таб_249048","Сотрудник",2,2,1,1,1,1,1,1
"100","таб_5070958","Сотрудник",2,2,1,1,1,1,2,2
"101","таб_2072895","Сотрудник",5,3,2,2,1,1,1,1
"102","таб_5571446","Сотрудник",2,1,1,1,1,1,2,2
"103","таб_9261110","Сотрудник",1,1,1,1,1,1,1,1
"104","таб_4536859","Сотрудник",3,2,1,1,1,1,1,2
"105","таб_1571318","Сотрудник",2,2,1,1,1,1,2,2
"106","таб_6056205","Сотрудник",4,2,1,1,1,1,1,1
"107","таб_2503636","Сотрудник",3,2,1,1,1,1,2,1
"108","таб_5639475","Сотрудник",2,2,1,1,1,1,2,2
"109","таб_2937180","Сотрудник",4,2,1,1,1,1,2,2
"110","таб_906607","Менеджер",4,2,2,1,2,1,3,2
"111","таб_7715687","Менеджер",4,2,2,1,2,4,3,3
"112","таб_4007207","Сотрудник",3,1,1,1,1,1,1,1
"113","таб_9154051","Сотрудник",2,2,1,1,1,2,2,2
"114","таб_6145362","Сотрудник",2,2,1,1,1,1,2,2
"115","таб_7844987","Сотрудник",2,2,1,1,1,1,2,2
"116","таб_3626950","Сотрудник",4,2,1,1,1,1,3,1
"117","таб_1701110","Сотрудник",2,1,1,1,1,1,2,2
"118","таб_7837789","Менеджер",2,2,2,1,2,1,2,2
"119","таб_2277619","Менеджер",4,2,2,1,2,1,3,3
"120","таб_3331297","Менеджер",2,2,2,1,2,1,2,2
"121","таб_9697195","Сотрудник",1,1,1,1,1,1,1,1
"122","таб_2115236","Менеджер",5,3,2,2,1,2,1,2
"123","таб_8153166","Менеджер",2,3,2,1,2,2,3,3
"124","таб_5536395","Менеджер",4,2,2,1,2,3,3,2
"125","таб_6183266","Менеджер",2,3,2,1,2,2,3,3
"126","таб_252378","Сотрудник",5,3,2,3,1,1,2,1
"127","таб_2329655","Сотрудник",4,3,1,1,1,1,1,2
"128","таб_8822145","Сотрудник",2,1,1,1,1,1,1,1
"129","таб_6270039","Сотрудник",2,1,1,1,1,1,2,2
"130","таб_350691","Менеджер",5,2,2,2,1,2,1,3
"131","таб_9535236","Менеджер",2,3,2,1,2,2,3,3
"132","таб_3109509","Сотрудник",4,2,1,1,1,1,2,2
"133","таб_88777","Сотрудник",2,2,1,1,1,1,2,2
"134","таб_6328965","Сотрудник",3,2,1,1,1,1,1,1
"135","таб_315983","Сотрудник",2,2,1,1,1,1,2,2
"136","таб_4540684","Менеджер",2,3,2,1,2,2,3,3
"137","таб_8338323","Сотрудник",2,1,1,1,1,1,2,2
"138","таб_8417204","Сотрудник",2,1,1,1,1,1,2,2
"139","таб_3678318","Менеджер",5,3,2,1,1,2,1,1
"140","таб_6957199","Сотрудник",1,1,1,1,1,1,2,1
"141","таб_2178436","Менеджер",6,3,2,3,1,1,3,4
"142","таб_8307341","Менеджер",2,3,2,1,2,2,3,3
"143","таб_1768048","Менеджер",6,4,3,4,2,1,3,4
"144","таб_4804360","Сотрудник",2,2,1,1,1,2,2,2
"145","таб_1380323","Менеджер",4,1,2,1,2,1,2,2
"146","таб_8908400","Сотрудник",3,2,1,1,1,1,1,1
"147","таб_5311125","Сотрудник",2,2,1,1,1,1,2,2
"148","таб_7327746","Сотрудник",5,2,2,1,1,1,1,1
"149","таб_2704200","Сотрудник",2,2,1,1,1,1,2,2
"150","таб_5043029","Сотрудник",2,1,1,1,1,1,1,1
