fot,grade_score,region,filial,subdivision,department,unit,experience
90000,144344,Moscow,Головная компания,Блок андеррайтинга,Департамент бизнес-анализа и технологий,NA,21
90000,144344,Moscow,Головная компания,Блок андеррайтинга,Департамент бизнес-анализа и технологий,NA,3
130000,133542,Moscow,Головная компания,Блок андеррайтинга,Департамент бизнес-анализа и технологий,NA,29
130000,133542,Moscow,Головная компания,Блок андеррайтинга,Департамент бизнес-анализа и технологий,NA,6
55000,107860,Moscow,Головная компания,Блок андеррайтинга,Департамент бизнес-анализа и технологий,NA,11
210000,168135,Moscow,Головная компания,Блок андеррайтинга,Департамент бизнес-анализа и технологий,NA,4
250000,206727,Moscow,Головная компания,Блок андеррайтинга,Департамент бизнес-анализа и технологий,NA,7
60000,114640,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,Отдел технической оценки риска,3
60000,114640,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,Отдел технической оценки риска,19
60000,114640,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,Отдел технической оценки риска,2
60000,114640,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,Отдел технической оценки риска,1
50000,114640,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,Отдел технической оценки риска,20
60000,184556,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,Отдел технической оценки риска,6
60000,90997,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,Отдел технической оценки риска,4
100000,225960,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,Отдел технической оценки риска,3
65000,90997,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,Отдел технической оценки риска,10
50000,90997,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,Отдел технической оценки риска,21
25000,90997,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,Отдел технической оценки риска,18
50000,90997,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,Отдел технической оценки риска,29
50000,90997,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,Отдел технической оценки риска,4
50000,90997,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,Отдел технической оценки риска,11
25000,90997,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,Отдел технической оценки риска,1
100000,120609,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,NA,17
60000,120609,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,NA,13
65000,120609,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,NA,22
45000,120609,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,NA,22
80000,120609,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,NA,13
50000,120609,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,NA,8
70000,120609,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,NA,25
60000,120609,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,NA,14
100000,120609,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,NA,13
90000,120609,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,NA,30
50000,114640,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,NA,28
70000,114640,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,NA,19
115000,209617,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,NA,4
130000,209617,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,NA,11
85000,175024,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,NA,21
150000,175024,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,NA,21
100000,175024,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,NA,21
80000,175024,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,NA,18
80000,175024,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,NA,15
70000,175024,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,NA,8
115000,209617,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,NA,24
170000,209617,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,NA,11
150000,175024,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,NA,7
75000,175024,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,NA,21
70000,184556,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,NA,24
230000,209617,Moscow,Головная компания,Блок андеррайтинга,Департамент оперативного андеррайтинга,NA,28
90000,169474,Moscow,Головная компания,Блок андеррайтинга,Департамент управления страховым портфелем,Отдел автострахования и тарификации,1
140000,212020,Moscow,Головная компания,Блок андеррайтинга,Департамент управления страховым портфелем,Отдел автострахования и тарификации,13
95000,207894,Moscow,Головная компания,Блок андеррайтинга,Департамент управления страховым портфелем,Отдел автострахования и тарификации,5
240000,284442,Moscow,Головная компания,Блок андеррайтинга,Департамент управления страховым портфелем,Отдел автострахования и тарификации,2
260000,294803,Moscow,Головная компания,Блок андеррайтинга,Департамент управления страховым портфелем,Отдел автострахования и тарификации,2
50000,101799,Moscow,Головная компания,Блок андеррайтинга,Департамент управления страховым портфелем,Отдел автострахования и тарификации,15
200000,238977,Moscow,Головная компания,Блок андеррайтинга,Департамент управления страховым портфелем,Отдел имущественного страхования,25
130000,238977,Moscow,Головная компания,Блок андеррайтинга,Департамент управления страховым портфелем,Отдел имущественного страхования,15
100000,203919,Moscow,Головная компания,Блок андеррайтинга,Департамент управления страховым портфелем,Отдел имущественного страхования,20
150000,228616,Moscow,Головная компания,Блок андеррайтинга,Департамент управления страховым портфелем,Отдел имущественного страхования,28
230000,243070,Moscow,Головная компания,Блок андеррайтинга,Департамент управления страховым портфелем,Отдел имущественного страхования,6
230000,315525,Moscow,Головная компания,Блок андеррайтинга,Департамент управления страховым портфелем,Отдел имущественного страхования,18
75000,114640,Moscow,Головная компания,Блок андеррайтинга,Департамент управления страховым портфелем,Отдел перестрахования,25
60000,114640,Moscow,Головная компания,Блок андеррайтинга,Департамент управления страховым портфелем,Отдел перестрахования,1
85000,127481,Moscow,Головная компания,Блок андеррайтинга,Департамент управления страховым портфелем,Отдел перестрахования,10
300000,353868,Moscow,Головная компания,Блок андеррайтинга,Департамент управления страховым портфелем,Отдел перестрахования,1
100000,238350,Moscow,Головная компания,Блок андеррайтинга,Департамент управления страховым портфелем,Отдел страхования специальных рисков,1
120000,238350,Moscow,Головная компания,Блок андеррайтинга,Департамент управления страховым портфелем,Отдел страхования специальных рисков,25
90000,188229,Moscow,Головная компания,Блок андеррайтинга,Департамент управления страховым портфелем,Отдел страхования специальных рисков,10
200000,292323,Moscow,Головная компания,Блок андеррайтинга,Департамент управления страховым портфелем,Отдел страхования специальных рисков,30
290000,155125,Moscow,Головная компания,Блок андеррайтинга,NA,NA,20
230000,260838,Moscow,Головная компания,Блок андеррайтинга,NA,NA,17
180000,288650,Moscow,Головная компания,Блок андеррайтинга,NA,NA,16
240000,288650,Moscow,Головная компания,Блок андеррайтинга,NA,NA,13
100000,138283,Moscow,Головная компания,Блок информационных технологий,Департамент аналитических систем,NA,21
100000,138283,Moscow,Головная компания,Блок информационных технологий,Департамент аналитических систем,NA,3
130000,237810,Moscow,Головная компания,Блок информационных технологий,Департамент аналитических систем,NA,1
130000,237810,Moscow,Головная компания,Блок информационных технологий,Департамент аналитических систем,NA,17
100000,138283,Moscow,Головная компания,Блок информационных технологий,Департамент аналитических систем,NA,8
350000,237810,Moscow,Головная компания,Блок информационных технологий,Департамент аналитических систем,NA,6
60000,138283,Moscow,Головная компания,Блок информационных технологий,Департамент аналитических систем,NA,8
230000,150405,Moscow,Головная компания,Блок информационных технологий,Департамент взаимодействия с функциональными блоками и проектной деятельности,NA,8
200000,150405,Moscow,Головная компания,Блок информационных технологий,Департамент взаимодействия с функциональными блоками и проектной деятельности,NA,8
230000,150405,Moscow,Головная компания,Блок информационных технологий,Департамент взаимодействия с функциональными блоками и проектной деятельности,NA,18
230000,150405,Moscow,Головная компания,Блок информационных технологий,Департамент взаимодействия с функциональными блоками и проектной деятельности,NA,7
200000,150405,Moscow,Головная компания,Блок информационных технологий,Департамент взаимодействия с функциональными блоками и проектной деятельности,NA,23
200000,150405,Moscow,Головная компания,Блок информационных технологий,Департамент взаимодействия с функциональными блоками и проектной деятельности,NA,10
201500,150405,Moscow,Головная компания,Блок информационных технологий,Департамент взаимодействия с функциональными блоками и проектной деятельности,NA,3
190000,150405,Moscow,Головная компания,Блок информационных технологий,Департамент взаимодействия с функциональными блоками и проектной деятельности,NA,27
220000,150405,Moscow,Головная компания,Блок информационных технологий,Департамент взаимодействия с функциональными блоками и проектной деятельности,NA,22
230000,150405,Moscow,Головная компания,Блок информационных технологий,Департамент взаимодействия с функциональными блоками и проектной деятельности,NA,28
250000,176495,Moscow,Головная компания,Блок информационных технологий,Департамент инфраструктуры,Отдел серверной инфраструктуры,14
80000,114640,Moscow,Головная компания,Блок информационных технологий,Департамент инфраструктуры,Отдел серверной инфраструктуры,21
65000,114640,Moscow,Головная компания,Блок информационных технологий,Департамент инфраструктуры,Отдел серверной инфраструктуры,2
80000,114640,Moscow,Головная компания,Блок информационных технологий,Департамент инфраструктуры,Отдел серверной инфраструктуры,21
85000,114640,Moscow,Головная компания,Блок информационных технологий,Департамент инфраструктуры,Отдел серверной инфраструктуры,9
100000,114640,Moscow,Головная компания,Блок информационных технологий,Департамент инфраструктуры,Отдел серверной инфраструктуры,24
90000,114640,Moscow,Головная компания,Блок информационных технологий,Департамент инфраструктуры,Отдел серверной инфраструктуры,3
120000,214647,Moscow,Головная компания,Блок информационных технологий,Департамент инфраструктуры,Отдел серверной инфраструктуры,8
170000,176495,Moscow,Головная компания,Блок информационных технологий,Департамент инфраструктуры,Отдел сетевой инфраструктуры,19
110000,114640,Moscow,Головная компания,Блок информационных технологий,Департамент инфраструктуры,Отдел сетевой инфраструктуры,13
100000,114640,Moscow,Головная компания,Блок информационных технологий,Департамент инфраструктуры,Отдел сетевой инфраструктуры,14
120000,177907,Moscow,Головная компания,Блок информационных технологий,Департамент инфраструктуры,Отдел сетевой инфраструктуры,23
130000,114640,Moscow,Головная компания,Блок информационных технологий,Департамент инфраструктуры,Отдел сетевой инфраструктуры,18
200000,280873,Moscow,Головная компания,Блок информационных технологий,Департамент инфраструктуры,NA,27
55000,107860,Moscow,Головная компания,Блок информационных технологий,Департамент ИТ-активов и финансов,NA,6
45000,107860,Moscow,Головная компания,Блок информационных технологий,Департамент ИТ-активов и финансов,NA,25
55000,107860,Moscow,Головная компания,Блок информационных технологий,Департамент ИТ-активов и финансов,NA,12
50000,107860,Moscow,Головная компания,Блок информационных технологий,Департамент ИТ-активов и финансов,NA,26
80000,175857,Moscow,Головная компания,Блок информационных технологий,Департамент ИТ-активов и финансов,NA,1
70000,138191,Moscow,Головная компания,Блок информационных технологий,Департамент ИТ-активов и финансов,NA,21
85000,175857,Moscow,Головная компания,Блок информационных технологий,Департамент ИТ-активов и финансов,NA,2
70000,138191,Moscow,Головная компания,Блок информационных технологий,Департамент ИТ-активов и финансов,NA,11
55000,138191,Moscow,Головная компания,Блок информационных технологий,Департамент ИТ-активов и финансов,NA,23
160000,256848,Moscow,Головная компания,Блок информационных технологий,Департамент ИТ-активов и финансов,NA,10
50000,101799,Moscow,Головная компания,Блок информационных технологий,Департамент операционной поддержки пользователей,NA,17
80000,101799,Moscow,Головная компания,Блок информационных технологий,Департамент операционной поддержки пользователей,NA,1
80000,101799,Moscow,Головная компания,Блок информационных технологий,Департамент операционной поддержки пользователей,NA,1
40000,101799,Moscow,Головная компания,Блок информационных технологий,Департамент операционной поддержки пользователей,NA,4
55000,103460,Moscow,Головная компания,Блок информационных технологий,Департамент операционной поддержки пользователей,NA,13
53000,103460,Moscow,Головная компания,Блок информационных технологий,Департамент операционной поддержки пользователей,NA,13
55000,103460,Moscow,Головная компания,Блок информационных технологий,Департамент операционной поддержки пользователей,NA,25
60000,103460,Moscow,Головная компания,Блок информационных технологий,Департамент операционной поддержки пользователей,NA,19
85000,164473,Moscow,Головная компания,Блок информационных технологий,Департамент операционной поддержки пользователей,NA,24
145000,249453,Moscow,Головная компания,Блок информационных технологий,Департамент операционной поддержки пользователей,NA,13
105000,127481,Moscow,Головная компания,Блок информационных технологий,Департамент поддержки прикладных систем,Отдел контроля качества информационных систем,19
115000,116680,Moscow,Головная компания,Блок информационных технологий,Департамент поддержки прикладных систем,Отдел контроля качества информационных систем,27
50000,116680,Moscow,Головная компания,Блок информационных технологий,Департамент поддержки прикладных систем,Отдел контроля качества информационных систем,16
135000,144971,Moscow,Головная компания,Блок информационных технологий,Департамент поддержки прикладных систем,Отдел контроля качества информационных систем,19
90000,204706,Moscow,Головная компания,Блок информационных технологий,Департамент поддержки прикладных систем,Отдел поддержки прикладных систем,17
90000,127481,Moscow,Головная компания,Блок информационных технологий,Департамент поддержки прикладных систем,Отдел поддержки прикладных систем,28
90000,127481,Moscow,Головная компания,Блок информационных технологий,Департамент поддержки прикладных систем,Отдел поддержки прикладных систем,10
90000,127481,Moscow,Головная компания,Блок информационных технологий,Департамент поддержки прикладных систем,Отдел поддержки прикладных систем,8
90000,127481,Moscow,Головная компания,Блок информационных технологий,Департамент поддержки прикладных систем,Отдел поддержки прикладных систем,15
110000,127481,Moscow,Головная компания,Блок информационных технологий,Департамент поддержки прикладных систем,Отдел поддержки прикладных систем,26
60000,101799,Moscow,Головная компания,Блок информационных технологий,Департамент поддержки прикладных систем,Отдел поддержки прикладных систем,20
170000,138283,Moscow,Головная компания,Блок информационных технологий,Департамент поддержки прикладных систем,Отдел поддержки прикладных систем,17
120000,138283,Moscow,Головная компания,Блок информационных технологий,Департамент поддержки прикладных систем,Отдел поддержки прикладных систем,16
120000,138283,Moscow,Головная компания,Блок информационных технологий,Департамент поддержки прикладных систем,Отдел поддержки прикладных систем,2
140000,150405,Moscow,Головная компания,Блок информационных технологий,Департамент поддержки прикладных систем,Отдел поддержки прикладных систем,23
230000,287354,Moscow,Головная компания,Блок информационных технологий,Департамент поддержки прикладных систем,NA,1
115000,133542,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,12
170000,133542,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,23
140000,133542,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,5
