trialtype,setsize,time1,click1x,click1y,time2,click2x,click2y,id,platform,posx1,posy1,posxmin1,posxmax1,posymin1,posymax1,posx2,posy2,posxmin2,posxmax2,posymin2,posymax2
tray,8,1.671902656555176,-227,202,1.279533982276917,14,-351,1,ios,-238,202,-313,-163,127,277,450,-350,350,550,-425,-275
tray,8,1.126053929328918,-69,231,1.060934543609619,-44,-392,1,ios,-63,226,-138,12,151,301,450,-350,350,550,-425,-275
tray,8,2.595398664474487,60,195,0.9625009298324585,17,-361,1,ios,66,217,-9,141,142,292,450,-350,350,550,-425,-275
tray,8,2.609390735626221,199,213,0.8633439540863037,-26,-356,1,ios,203,218,128,278,143,293,450,-350,350,550,-425,-275
tray,8,1.592684030532837,-241,43,0.9309858083724976,-25,-397,1,ios,-243,59,-318,-168,-16,134,450,-350,350,550,-425,-275
tray,8,1.143262624740601,-51,59,0.8958312273025513,10,-383,1,ios,-60,90,-135,15,15,165,450,-350,350,550,-425,-275
tray,8,2.14491081237793,99,62,0.8793938159942627,-29,-372,1,ios,73,66,-2,148,-9,141,450,-350,350,550,-425,-275
tray,8,1.627952456474304,213,46,0.9466325640678406,-27,-353,1,ios,213,52,138,288,-23,127,450,-350,350,550,-425,-275
tray,8,2.557050466537476,-201,-123,1.647009611129761,-25,-385,1,ios,-229,-93,-304,-154,-168,-18,450,-350,350,550,-425,-275
tray,8,2.023066282272339,-70,-82,0.9701653122901917,-19,-394,1,ios,-84,-79,-159,-9,-154,-4,450,-350,350,550,-425,-275
tray,8,1.080771923065186,72,-95,1.327824831008911,30,-399,1,ios,93,-53,18,168,-128,22,450,-350,350,550,-425,-275
tray,8,1.495049238204956,222,-55,0.8792230486869812,46,-344,1,ios,220,-67,145,295,-142,8,450,-350,350,550,-425,-275
tray,8,1.361174583435059,-231,-229,0.8799169659614563,-8,-388,1,ios,-201,-234,-276,-126,-309,-159,450,-350,350,550,-425,-275
tray,8,2.252302885055542,-95,-220,0.979974627494812,-36,-378,1,ios,-96,-226,-171,-21,-301,-151,450,-350,350,550,-425,-275
tray,8,2.047842264175415,44,-236,0.5617978572845459,50,-374,1,ios,88,-218,13,163,-293,-143,450,-350,350,550,-425,-275
tray,8,1.67608630657196,256,-234,1.246837735176086,4,-383,1,ios,247,-220,172,322,-295,-145,450,-350,350,550,-425,-275
tray,8,2.494782447814941,105,-240,0.9162977933883667,-37,-397,1,ios,89,-233,14,164,-308,-158,450,-350,350,550,-425,-275
tray,8,2.292521953582764,-44,-222,0.5807055234909058,-4,-402,1,ios,-73,-223,-148,2,-298,-148,450,-350,350,550,-425,-275
tray,8,1.90717339515686,-227,-194,1.197446465492249,-14,-401,1,ios,-247,-201,-322,-172,-276,-126,450,-350,350,550,-425,-275
tray,8,1.445532083511353,248,-76,1.598042368888855,10,-374,1,ios,242,-90,167,317,-165,-15,450,-350,350,550,-425,-275
tray,8,1.312192916870117,100,-92,1.4293532371521,-9,-381,1,ios,84,-95,9,159,-170,-20,450,-350,350,550,-425,-275
tray,8,1.445201277732849,-68,-111,1.115935683250427,20,-389,1,ios,-54,-92,-129,21,-167,-17,450,-350,350,550,-425,-275
tray,8,1.4618159532547,-210,-85,1.346307039260864,-7,-340,1,ios,-214,-81,-289,-139,-156,-6,450,-350,350,550,-425,-275
tray,8,1.697885751724243,231,66,0.9489290714263916,3,-355,1,ios,234,84,159,309,9,159,450,-350,350,550,-425,-275
tray,8,1.611242651939392,98,89,1.180458784103394,-23,-388,1,ios,88,91,13,163,16,166,450,-350,350,550,-425,-275
tray,8,1.909969329833984,223,-220,1.063442587852478,-8,-370,1,ios,212,-201,137,287,-276,-126,450,-350,350,550,-425,-275
tray,8,1.529154896736145,76,-228,0.9482166767120361,16,-420,1,ios,59,-237,-16,134,-312,-162,450,-350,350,550,-425,-275
tray,8,1.68857753276825,-109,-220,0.9134149551391602,-1,-380,1,ios,-90,-234,-165,-15,-309,-159,450,-350,350,550,-425,-275
tray,8,1.574384927749634,-240,-249,1.381235241889954,11,-398,1,ios,-226,-232,-301,-151,-307,-157,450,-350,350,550,-425,-275
tray,8,1.378170967102051,181,-92,0.9632023572921753,-23,-378,1,ios,214,-64,139,289,-139,11,450,-350,350,550,-425,-275
tray,8,1.245323181152344,91,-77,1.848036766052246,11,-409,1,ios,82,-71,7,157,-146,4,450,-350,350,550,-425,-275
tray,8,1.139276266098022,-62,-92,1.512831568717957,-40,-373,1,ios,-58,-82,-133,17,-157,-7,450,-350,350,550,-425,-275
tray,8,1.510886907577515,-187,-47,0.5985100865364075,42,-429,1,ios,-205,-50,-280,-130,-125,25,450,-350,350,550,-425,-275
tray,8,1.491920232772827,280,48,0.8135251402854919,35,-400,1,ios,248,57,173,323,-18,132,450,-350,350,550,-425,-275
tray,8,1.042322397232056,85,79,1.23096776008606,9,-403,1,ios,81,91,6,156,16,166,450,-350,350,550,-425,-275
tray,8,1.043981671333313,-29,62,2.614425420761108,4,-391,1,ios,-58,55,-133,17,-20,130,450,-350,350,550,-425,-275
tray,8,1.112028479576111,-234,77,1.575888156890869,10,-360,1,ios,-231,97,-306,-156,22,172,450,-350,350,550,-425,-275
tray,8,1.080138444900513,218,259,1.229383826255798,32,-344,1,ios,205,248,130,280,173,323,450,-350,350,550,-425,-275
tray,8,1.226936459541321,54,196,1.447404503822327,19,-322,1,ios,69,209,-6,144,134,284,450,-350,350,550,-425,-275
tray,8,1.576614737510681,-59,212,1.1644446849823,22,-354,1,ios,-63,218,-138,12,143,293,450,-350,350,550,-425,-275
tray,8,1.230282187461853,-159,199,1.014847993850708,7,-365,1,ios,-201,218,-276,-126,143,293,450,-350,350,550,-425,-275
tray,8,1.211602687835693,-45,235,1.080743908882141,-9,-382,1,ios,-57,250,-132,18,175,325,450,-350,350,550,-425,-275
tray,8,1.651685118675232,97,247,1.775226235389709,29,-373,1,ios,73,247,-2,148,172,322,450,-350,350,550,-425,-275
tray,8,1.102591753005981,212,204,0.96409010887146,36,-386,1,ios,207,224,132,282,149,299,450,-350,350,550,-425,-275
tray,8,1.642484784126282,-228,64,1.046929597854614,-27,-367,1,ios,-243,98,-318,-168,23,173,450,-350,350,550,-425,-275
tray,8,0.8415625691413879,-89,103,1.215532779693604,40,-385,1,ios,-91,94,-166,-16,19,169,450,-350,350,550,-425,-275
tray,8,1.749160647392273,79,82,0.9506376385688782,20,-405,1,ios,68,92,-7,143,17,167,450,-350,350,550,-425,-275
tray,8,1.027023077011108,242,87,2.728909969329834,7,-395,1,ios,216,90,141,291,15,165,450,-350,350,550,-425,-275
tray,8,1.129357695579529,-192,-90,1.664297223091125,42,-381,1,ios,-227,-86,-302,-152,-161,-11,450,-350,350,550,-425,-275
tray,8,1.025859475135803,-22,-79,1.045738458633423,2,-386,1,ios,-50,-75,-125,25,-150,0,450,-350,350,550,-425,-275
dots,8,1.145333528518677,-207,190,1.54793381690979,26,-388,1,ios,-213,213,-288,-138,138,288,450,-350,350,550,-425,-275
dots,8,0.9466906189918518,-74,183,1.100417733192444,7,-369,1,ios,-77,205,-152,-2,130,280,450,-350,350,550,-425,-275
dots,8,1.276276230812073,85,211,2.127126932144165,41,-358,1,ios,91,224,16,166,149,299,450,-350,350,550,-425,-275
dots,8,2.509210348129272,249,222,2.295724868774414,-14,-385,1,ios,224,221,149,299,146,296,450,-350,350,550,-425,-275
