id,e_dighelp,n_dighelp,e_socnet,f_socnet,n_socnet,gt_score,pr01,pr02,pr03,pr04,pr05,pr06,pr07,pr08,pr09,pr10,co01,co02,co03,co04,co05,co06,co07,co08,co09,co10,ut01,ut02,ut03,ut04,ut05,ut06,ut07,ut08,ut09,ut10,ut11,ut12,fa01,fa02,fa03,fa04,fa05,fa06,fa07,fa08,fa09,fa10,de01,de02,de03,de04,de05,de06,de07,de08,de09,de10,de11,un01,un02,un03,un04,un05,un06,un07,un08,un09,un10,un11,un12,gt01,gt02,gt03,gt04,gt05,gt06,socnet,vk,fb,tw,in,tt,yt,freqvk,freqfb,freqtw,freqin,freqtt,freqyt,expvk,expfb,exptw,expin,exptt,expyt,dighelp,siri,alice,salut,oleg,alex,mia,mts,ggle,oth,oth_text,expsiri,expalice,expsalut,expoleg,expalex,expmia,expmts,expggle,expoth,expoth_text,selfdrcar,selfdrexp,selfdrsafe,eduai,eduaiexp,age,sex,edulvl1,spec1,edu2,edulvl2,spec2,jobfield,jobpos,city
00XzIUUVmQ,5,1,0,3,2,2.6666666666666665,3,3,3,2,3,2,3,2,2,2,2,3,3,4,2,3,2,2,2,3,3,2,3,3,3,2,3,3,2,2,2,3,2,2,3,2,3,3,3,3,3,2,3,3,3,2,3,2,3,3,4,3,2,3,2,3,3,3,3,2,2,2,3,3,3,3,3,3,3,2,2,1,1,0,0,1,0,0,3,-2,-2,3,-2,-2,0,-2,-2,0,-2,-2,1,0,1,0,0,0,0,0,0,0,-2,-2,5,-2,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,1,4,34,f,bachelor,учет и аудит,0,-2,-2,-,-,Балашиха
0aABrq9MBY,NA,NA,NA,NA,NA,2.6666666666666665,3,3,3,3,2,2,3,3,4,3,3,3,4,2,2,3,3,2,3,2,4,3,2,3,2,3,2,3,3,2,2,4,2,3,3,3,3,2,3,2,2,2,2,3,3,3,3,3,2,3,2,3,3,3,2,1,1,3,3,3,3,1,3,2,2,3,2,3,2,3,3,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,0,NA,44,m,postgrad,Экономист,0,-2,-2,-,-,Ростов-на-Дону
0c6myGTrKr,4,1,3.2,2.4,5,2.8333333333333335,3,3,3,3,1,4,3,4,3,3,3,3,4,4,3,4,1,2,2,3,4,3,4,3,3,4,4,3,3,2,3,4,3,2,3,3,3,4,3,2,3,2,3,3,4,2,4,3,3,3,3,4,2,3,3,3,3,4,2,2,3,4,3,3,3,3,3,3,3,2,3,1,1,1,1,1,0,1,3,2,2,3,-2,2,4,3,2,4,-2,3,1,0,1,0,0,0,0,0,0,0,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,0,NA,41,m,specialist,менеджмент,1,bachelor,гос управление,строительство,прораб,прокопьевск
0CS5iaAVos,3.3333333333333335,3,3.6,1.6,5,2.5,3,3,3,3,2,3,3,2,3,2,2,2,2,4,2,4,1,1,1,2,5,4,5,4,5,4,5,4,3,4,4,3,4,4,1,2,3,3,3,2,4,4,3,3,3,0,3,3,3,3,3,3,3,2,2,3,3,3,1,2,3,2,2,2,3,2,3,3,2,2,3,1,1,1,0,1,1,1,2,2,-2,1,1,2,3,3,-2,4,4,4,1,1,1,0,1,0,0,0,0,0,-2,4,3,-2,3,-2,-2,-2,-2,-2,-2,0,NA,NA,1,3,35,f,school,нет,0,-2,-2,"IT, коммуникации",оператор колл-центра,тюмень
0hrSDnMpUk,3,2,4.5,2,2,2.6666666666666665,3,3,3,2,3,3,3,3,4,3,3,3,3,3,3,3,1,4,4,3,4,4,1,4,4,4,4,4,3,1,3,4,2,2,4,1,4,3,1,1,2,1,3,3,3,2,3,3,3,3,3,3,2,4,4,4,4,4,1,4,4,4,4,4,4,3,3,3,3,1,3,1,1,1,0,0,0,0,3,1,-2,-2,-2,-2,5,4,-2,-2,-2,-2,1,0,1,0,0,0,0,0,1,0,-2,-2,3,-2,-2,-2,-2,-2,3,-2,-2,0,NA,NA,1,3,42,f,specialist,педиатрия,0,-2,-2,страхование,страховой аггент,Иркутск
0iqSSzBl6e,3,1,3.5,3,2,3,4,3,1,0,4,5,5,4,4,4,4,3,4,5,4,3,1,5,4,5,5,5,5,5,3,5,4,5,4,2,2,2,2,0,2,2,4,2,3,2,1,3,3,4,5,2,5,3,3,5,5,3,1,3,3,5,3,4,1,4,4,4,3,4,4,2,3,2,4,4,3,1,1,0,0,1,0,0,3,-2,-2,3,-2,-2,3,-2,-2,4,-2,-2,1,0,1,0,0,0,0,0,0,0,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,0,NA,27,f,bachelor,Экономист,0,-2,-2,Гостиничный бизнес,Администратор,Омск
0maEmGpULZ,3.6666666666666665,3,5,3,2,1.1666666666666667,3,3,5,3,4,4,3,4,4,3,3,3,4,4,4,4,1,2,3,3,5,5,3,4,4,4,4,4,4,2,4,4,3,2,1,2,3,4,2,2,2,3,4,4,3,0,5,4,4,4,5,4,4,4,4,4,3,4,4,3,4,4,4,3,4,1,1,1,1,0,3,1,1,0,0,1,0,0,3,-2,-2,3,-2,-2,5,-2,-2,5,-2,-2,1,1,1,1,0,0,0,0,0,0,-2,3,4,4,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,1,4,34,m,specialist,Юриспруденция,0,-2,-2,Юридическая сфера,ведущий юрисконсульт,Тюмень
0tQInW4G3B,3,2,3,1.75,4,1.1666666666666667,1,1,1,2,1,3,2,4,3,3,2,1,2,3,2,2,3,1,2,1,4,3,4,3,3,3,3,3,3,1,1,3,3,3,0,0,3,0,1,3,3,4,3,2,2,3,4,0,3,1,4,3,4,3,2,2,2,3,1,1,4,1,2,3,3,1,1,1,1,2,1,1,1,1,0,1,0,1,3,0,-2,2,-2,2,4,2,-2,2,-2,4,1,0,1,0,0,0,0,0,1,0,-2,-2,3,-2,-2,-2,-2,-2,3,-2,-2,0,NA,NA,0,NA,39,f,school,"Училась на педагога по истории, но не окончила (незаконченное высшее образование - более трех лет)",0,-2,-2,Фриланс,Фрилансер,Екатеринбург
0uZliSVPMZ,3,4,2.3333333333333335,2.6666666666666665,3,1,3,3,3,4,0,4,1,3,3,1,4,2,2,5,3,2,0,2,1,1,4,3,3,2,4,3,4,4,3,3,1,3,2,2,3,1,2,2,1,2,2,4,3,1,1,1,4,0,3,1,1,3,1,4,3,4,4,4,4,2,4,2,2,4,4,1,1,1,2,0,1,1,1,0,0,1,0,1,3,-2,-2,3,-2,2,3,-2,-2,2,-2,2,1,1,0,0,1,0,0,0,1,1,Маруся (mail.ru),3,-2,-2,2,-2,-2,-2,3,4,Маруся (mail.ru),0,NA,NA,1,3,34,f,bachelor,менеджмент,0,-2,-2,образование,преподаватель,Ярославль
17jWtPKrPr,4,1,3,3,4,2.3333333333333335,4,3,4,3,3,4,3,4,4,3,3,3,3,4,2,3,1,1,2,2,3,3,3,3,3,3,3,4,4,3,3,4,2,1,2,2,3,3,3,2,2,2,3,3,3,3,4,3,3,3,4,3,1,4,3,3,3,4,4,3,3,4,4,3,3,2,2,3,2,2,3,1,1,1,0,1,0,1,3,3,-2,3,-2,3,3,2,-2,4,-2,3,1,0,1,0,0,0,0,0,0,0,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,1,3,34,f,specialist,Экономист,0,-2,-2,Культура,специалист,Стерлитамак
