day,averageViewDuration,code
2023-11-06,925,L0
2023-11-07,1048,L0
2023-11-08,630,L0
2023-11-09,513,L0
2023-11-10,86,L0
2023-11-12,1146,L0
2023-11-13,420,L0
2023-11-13,344,L1.1
2023-11-13,6,L1.2
2023-11-14,575,L0
2023-11-14,763,L1.1
2023-11-14,314,L1.2
2023-11-15,1507,L0
2023-11-15,1049,L1.1
2023-11-15,362,L1.2
2023-11-16,544,L0
2023-11-16,1134,L1.1
2023-11-16,651,L1.2
2023-11-17,1721,L0
2023-11-17,1388,L1.1
2023-11-17,321,L1.2
2023-11-18,26,L0
2023-11-18,1877,L1.1
2023-11-18,587,L1.2
2023-11-19,114,L1.1
2023-11-19,829,L1.2
2023-11-20,14,L0
2023-11-20,389,L1.1
2023-11-20,236,L1.2
2023-11-21,5,L0
2023-11-21,654,L1.1
2023-11-21,360,L1.2
2023-11-22,2079,L0
2023-11-22,1080,L1.1
2023-11-22,1060,L1.2
2023-11-23,5,L0
2023-11-23,5,L1.1
2023-11-23,387,L1.2
2023-11-24,18,L0
2023-11-24,289,L1.1
2023-11-25,65,L1.1
2023-11-25,684,L1.2
2023-11-26,554,L0
2023-11-26,192,L1.1
2023-11-26,1,L1.2
2023-11-27,3585,L1.1
2023-11-28,1,L0
2023-11-28,1,L1.1
2023-11-28,293,L2.1
2023-11-28,5,L1.2
2023-11-29,20,L1.1
2023-11-29,534,L2.1
2023-11-29,84,L1.2
2023-11-30,935,L2.1
2023-12-01,2845,L0
2023-12-01,2143,L1.1
2023-12-01,816,L2.1
2023-12-01,1547,L1.2
2023-12-02,6,L2.3
2023-12-02,6,L2.2
2023-12-02,1513,L1.1
2023-12-02,1340,L2.1
2023-12-03,393,L2.3
2023-12-03,993,L2.2
2023-12-03,412,L1.1
2023-12-03,976,L2.1
2023-12-03,819,L1.2
2023-12-04,635,L2.3
2023-12-04,990,L2.2
2023-12-04,163,L1.1
2023-12-04,1062,L2.1
2023-12-05,564,L2.3
2023-12-05,1879,L2.2
2023-12-05,1212,L2.1
2023-12-06,770,L2.3
2023-12-06,1085,L2.2
2023-12-06,998,L2.1
2023-12-07,1226,L2.3
2023-12-07,4511,L2.2
2023-12-07,16,L2.1
2023-12-08,1092,L2.2
2023-12-08,1924,L2.1
2023-12-09,1313,L2.3
2023-12-09,1681,L2.2
2023-12-09,1635,L2.1
2023-12-10,239,L2.3
2023-12-10,315,L2.2
2023-12-10,334,L2.1
2023-12-10,28,L1.2
2023-12-11,445,L2.3
2023-12-11,1201,L2.2
2023-12-12,312,L2.3
2023-12-12,1203,L2.2
2023-12-12,1037,L1.2
2023-12-13,851,L2.3
2023-12-13,869,L2.2
2023-12-13,751,L2.1
