id,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,date
SRJO83,4,1,2,1,1,2,5,5,4,4,4,4,2022-09-04T09:01:34Z
GNCV155,1,3,3,2,5,2,4,2,2,1,2,2,2022-10-25T03:13:10Z
UFLL21,5,3,4,2,4,1,1,2,4,4,2,2,2022-10-27T22:55:51Z
HPEW102,3,5,3,2,4,4,5,1,4,4,2,2,2022-09-15T07:04:58Z
ZTPD62,3,4,5,2,2,1,2,2,5,1,4,5,2022-10-05T22:06:36Z
CXRD72,4,3,1,5,4,3,4,4,1,2,2,3,2022-08-10T12:45:12Z
KEIK122,1,3,3,5,4,4,5,2,2,4,3,1,2022-09-11T03:23:47Z
WXMS152,5,4,2,5,1,2,3,2,1,1,4,2,2022-08-30T21:11:19Z
USFT127,2,5,2,2,2,4,5,3,2,2,5,1,2022-08-25T01:06:32Z
OHTO173,3,2,2,4,4,3,4,1,2,2,3,3,2022-10-19T01:08:41Z
CSOD118,4,3,5,3,4,1,3,2,1,2,3,2,2022-12-01T21:22:26Z
CHKP20,4,5,2,1,4,2,1,2,1,2,1,1,2022-09-04T04:29:48Z
VSLN112,1,3,5,5,5,2,5,5,2,3,3,2,2022-11-23T08:02:56Z
GTOY203,3,1,3,5,2,2,2,2,1,2,5,2,2022-09-02T01:17:37Z
IDXP139,4,4,2,1,1,2,4,1,4,3,1,4,2022-12-04T15:37:07Z
TMUB94,3,3,2,5,4,1,4,5,4,4,1,1,2022-08-25T02:26:02Z
ODDK43,3,5,2,2,4,4,2,2,5,3,4,2,2022-08-22T04:21:29Z
IJQC4,1,3,4,5,2,4,3,5,5,3,1,1,2022-08-23T21:17:35Z
QYEI35,5,3,4,4,3,5,4,3,3,2,2,1,2022-08-21T12:20:22Z
HLJG187,2,3,5,3,2,2,4,5,1,1,5,4,2022-10-07T13:03:03Z
SEHJ117,2,3,5,5,5,5,2,1,1,5,2,3,2022-11-16T14:32:22Z
GZMM53,4,2,2,1,4,2,2,5,1,4,1,3,2022-11-24T22:56:28Z
AZPU5,4,2,3,5,3,4,4,2,4,3,4,5,2022-10-21T18:28:13Z
RUDG45,4,1,2,4,1,5,5,2,5,3,5,4,2022-09-03T10:01:08Z
MJDB52,5,3,4,5,1,5,4,3,5,4,4,5,2022-08-30T12:41:44Z
DOOV134,1,3,4,3,3,4,5,3,4,3,5,1,2022-10-09T00:22:20Z
RSMJ30,3,4,1,1,2,1,1,1,4,5,5,3,2022-11-16T13:47:41Z
ZOUW119,2,4,2,5,2,4,1,3,1,5,3,5,2022-11-02T00:55:55Z
YTVK11,5,4,1,5,4,1,4,5,4,2,2,2,2022-10-31T18:56:08Z
OKOV100,2,1,1,5,2,5,1,1,5,1,4,2,2022-12-10T01:38:06Z
MSRO60,2,1,3,4,4,4,2,1,2,4,4,2,2022-10-09T16:17:41Z
FVGM191,2,5,3,1,3,1,3,1,3,3,5,5,2022-12-08T19:20:40Z
BJHW8,5,4,1,3,4,4,2,5,2,1,2,5,2022-10-30T02:59:50Z
UPYE85,1,5,2,4,5,3,4,1,1,3,5,4,2022-08-23T16:29:52Z
PQLE185,3,3,3,5,3,4,1,5,1,4,2,4,2022-10-20T02:21:59Z
KYGO131,2,5,1,4,2,5,3,2,2,1,1,5,2022-08-13T08:57:12Z
VGAW27,5,1,3,1,4,2,4,4,3,4,5,2,2022-11-15T00:51:43Z
QEVL192,4,3,4,1,1,2,2,3,4,4,2,4,2022-11-05T00:07:25Z
CDTT125,4,5,4,3,5,4,4,4,4,1,3,1,2022-12-17T02:07:28Z
GRFI2,3,2,4,1,1,2,1,5,1,4,2,5,2022-10-23T04:39:46Z
